State,State Code,County,County Code,Year,Year Code,Month,Month Code,Underlying Cause of death,Underlying Cause of death Code,Deaths,Population,Crude Rate,% of Total Deaths
Alabama,1,"Jefferson County, AL",1073,2015,2015,"Feb., 2015",2015/02,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13,Not Applicable,Not Applicable,0.00%
Alabama,1,"Jefferson County, AL",1073,2015,2015,"Mar., 2015",2015/03,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,Not Applicable,Not Applicable,0.00%
Alabama,1,"Jefferson County, AL",1073,2015,2015,"Apr., 2015",2015/04,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15,Not Applicable,Not Applicable,0.00%
Alabama,1,"Jefferson County, AL",1073,2015,2015,"Sep., 2015",2015/09,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jan., 2015",2015/01,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Feb., 2015",2015/02,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Feb., 2015",2015/02,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Mar., 2015",2015/03,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,11,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Mar., 2015",2015/03,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Mar., 2015",2015/03,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,29,Not Applicable,Not Applicable,0.10%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Apr., 2015",2015/04,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Apr., 2015",2015/04,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,25,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"May, 2015",2015/05,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,20,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"May, 2015",2015/05,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jun., 2015",2015/06,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jun., 2015",2015/06,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jun., 2015",2015/06,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,27,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jul., 2015",2015/07,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,13,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jul., 2015",2015/07,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Jul., 2015",2015/07,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28,Not Applicable,Not Applicable,0.10%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Aug., 2015",2015/08,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,19,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Aug., 2015",2015/08,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Aug., 2015",2015/08,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,35,Not Applicable,Not Applicable,0.10%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Sep., 2015",2015/09,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Sep., 2015",2015/09,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Oct., 2015",2015/10,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,13,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Oct., 2015",2015/10,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28,Not Applicable,Not Applicable,0.10%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Nov., 2015",2015/11,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,14,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Nov., 2015",2015/11,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Nov., 2015",2015/11,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22,Not Applicable,Not Applicable,0.00%
Arizona,4,"Maricopa County, AZ",4013,2015,2015,"Dec., 2015",2015/12,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21,Not Applicable,Not Applicable,0.00%
Arizona,4,"Pima County, AZ",4019,2015,2015,"Jun., 2015",2015/06,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14,Not Applicable,Not Applicable,0.00%
Arizona,4,"Pima County, AZ",4019,2015,2015,"Sep., 2015",2015/09,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10,Not Applicable,Not Applicable,0.00%
Arizona,4,"Pima County, AZ",4019,2015,2015,"Oct., 2015",2015/10,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,Not Applicable,Not Applicable,0.00%
Arizona,4,"Pima County, AZ",4019,2015,2015,"Nov., 2015",2015/11,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12,Not Applicable,Not Applicable,0.00%
Arizona,4,"Pima County, AZ",4019,2015,2015,"Dec., 2015",2015/12,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,Not Applicable,Not Applicable,0.00%
California,6,"Alameda County, CA",6001,2015,2015,"Jan., 2015",2015/01,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,Not Applicable,Not Applicable,0.00%
California,6,"Alameda County, CA",6001,2015,2015,"Sep., 2015",2015/09,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,Not Applicable,Not Applicable,0.00%
