State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Total United States,Total United States,4.31%,4.17%,4.45%,1
Northeast,Northeast,3.82%,3.57%,4.10%,2
Midwest,Midwest,4.21%,4.00%,4.43%,2
South,South,4.30%,4.09%,4.51%,2
West,West,4.78%,4.48%,5.10%,2
Alabama,Alabama,5.24%,4.40%,6.24%,3
Alabama,Region 1,4.88%,3.77%,6.29%,4
Alabama,Region 2,5.62%,4.48%,7.03%,4
Alabama,Region 3,5.12%,3.99%,6.56%,4
Alabama,Region 4,5.27%,4.13%,6.72%,4
Alaska,Alaska,4.72%,3.95%,5.64%,3
Alaska,Anchorage,5.02%,4.02%,6.24%,4
Alaska,Northern,4.61%,3.59%,5.90%,4
Alaska,South Central,4.58%,3.55%,5.89%,4
Alaska,Southeast,4.15%,3.10%,5.53%,4
Arizona,Arizona,5.18%,4.29%,6.24%,3
Arizona,Maricopa,5.37%,4.35%,6.62%,4
Arizona,Pima,5.09%,3.86%,6.69%,4
Arizona,Rural North,4.87%,3.59%,6.56%,4
Arizona,Rural South,4.67%,3.49%,6.22%,4
Arkansas,Arkansas,5.21%,4.37%,6.20%,3
Arkansas,Catchment Area 1,5.06%,3.94%,6.47%,4
Arkansas,Catchment Area 2,4.83%,3.71%,6.28%,4
Arkansas,Catchment Area 3,5.64%,4.36%,7.28%,4
Arkansas,Catchment Area 4,5.25%,4.00%,6.85%,4
Arkansas,Catchment Area 5,5.56%,4.34%,7.11%,4
Arkansas,Catchment Area 6,5.18%,3.93%,6.79%,4
Arkansas,Catchment Area 7,5.05%,3.80%,6.67%,4
Arkansas,Catchment Area 8,5.08%,3.93%,6.54%,4
California,California,4.76%,4.30%,5.26%,3
California,Region 1R,5.26%,4.14%,6.66%,4
California,Region 2R,5.23%,4.15%,6.59%,4
California,Region 3R (Sacramento),4.78%,3.83%,5.96%,4
California,Region 4R,4.66%,3.70%,5.84%,4
California,Region 5R (San Francisco),4.76%,3.63%,6.20%,4
California,Region 6 (Santa Clara),4.36%,3.43%,5.53%,4
California,Region 7R (Contra Costa),4.54%,3.57%,5.78%,4
California,Region 8R (Alameda),4.56%,3.58%,5.81%,4
California,Region 9R (San Mateo),4.28%,3.29%,5.55%,4
California,Region 10,4.93%,3.88%,6.23%,4
California,Region 11 (Los Angeles),4.72%,4.15%,5.35%,5
California,LA SPA 1 and 5,4.92%,3.88%,6.23%,4
California,LA SPA 2,4.76%,3.79%,5.96%,4
California,LA SPA 3,4.23%,3.32%,5.37%,4
California,LA SPA 4,4.81%,3.77%,6.12%,4
California,LA SPA 6,5.49%,4.32%,6.95%,4
California,LA SPA 7,4.76%,3.75%,6.03%,4
California,LA SPA 8,4.49%,3.54%,5.68%,4
California,Region 12R,4.67%,3.68%,5.92%,4
California,Regions 13 and 19R,4.84%,3.92%,5.96%,4
California,Region 14 (Orange),4.38%,3.52%,5.43%,4
California,Region 15R (Fresno),5.11%,4.08%,6.40%,4
California,Region 16R (San Diego),4.93%,4.00%,6.06%,4
California,Region 17R,4.88%,3.90%,6.09%,4
California,Region 18R (San Bernardino),4.80%,3.86%,5.97%,4
California,Region 20R,5.08%,4.00%,6.42%,4
California,Region 21R,5.19%,4.10%,6.55%,4
Colorado,Colorado,5.03%,4.18%,6.05%,3
Colorado,Region 1,5.89%,4.49%,7.70%,4
Colorado,Regions 2 and 7,4.99%,3.98%,6.23%,4
Colorado,Region 3,4.73%,3.61%,6.17%,4
Colorado,Region 4,4.58%,3.43%,6.08%,4
Colorado,Regions 5 and 6,4.84%,3.67%,6.37%,4
Connecticut,Connecticut,3.55%,2.90%,4.35%,3
Connecticut,Eastern,3.93%,3.00%,5.14%,4
Connecticut,North Central,3.79%,2.89%,4.96%,4
Connecticut,Northwestern,3.26%,2.44%,4.35%,4
Connecticut,South Central,3.44%,2.59%,4.55%,4
Connecticut,Southwest,3.36%,2.52%,4.45%,4
Delaware,Delaware,4.70%,3.92%,5.63%,3
Delaware,Kent,4.77%,3.71%,6.12%,4
Delaware,New Castle (excluding Wilmington City),4.85%,3.90%,6.02%,4
Delaware,Sussex,4.30%,3.25%,5.66%,4
Delaware,Wilmington City,4.73%,3.51%,6.35%,4
District of Columbia,District of Columbia,4.13%,3.41%,4.99%,3
District of Columbia,Ward 1,4.62%,3.44%,6.18%,4
District of Columbia,Ward 2,5.06%,3.80%,6.69%,4
District of Columbia,Ward 3,4.05%,3.03%,5.39%,4
District of Columbia,Ward 4,3.45%,2.55%,4.65%,4
District of Columbia,Ward 5,4.06%,3.06%,5.36%,4
District of Columbia,Ward 6,4.10%,3.05%,5.50%,4
District of Columbia,Ward 7,3.67%,2.73%,4.91%,4
District of Columbia,Ward 8,3.90%,2.97%,5.11%,4
Florida,Florida,3.47%,3.07%,3.92%,3
Florida,Broward (Circuit 17),3.42%,2.73%,4.29%,4
Florida,Central I,3.61%,3.04%,4.28%,5
Florida,Circuit 9,3.71%,3.01%,4.57%,4
Florida,Circuit 18,3.47%,2.75%,4.36%,4
Florida,Central II,3.45%,2.94%,4.03%,5
Florida,Circuit 6,3.37%,2.60%,4.35%,4
Florida,Circuit 10,3.55%,2.75%,4.56%,4
Florida,Circuit 12,3.06%,2.33%,4.02%,4
Florida,Circuit 13 (Hillsborough),3.67%,2.90%,4.63%,4
Florida,Circuit 20,3.50%,2.68%,4.56%,4
Florida,Northeast,3.60%,3.07%,4.21%,5
Florida,Circuit 4,3.62%,2.87%,4.57%,4
Florida,Circuit 5,3.19%,2.46%,4.12%,4
Florida,Circuit 7,3.50%,2.74%,4.45%,4
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",4.55%,3.56%,5.79%,4
Florida,Northwest,4.12%,3.45%,4.92%,5
Florida,Circuit 1,4.01%,3.12%,5.14%,4
Florida,Circuit 2 plus Madison and Taylor,4.42%,3.49%,5.59%,4
Florida,Circuit 14,3.96%,3.03%,5.16%,4
Florida,South (Circuits 11 and 16),2.95%,2.31%,3.76%,4
Florida,Southeast,3.40%,2.78%,4.15%,5
Florida,Circuit 15 (Palm Beach),3.41%,2.67%,4.34%,4
Florida,Circuit 19,3.38%,2.63%,4.34%,4
Georgia,Georgia,4.47%,3.74%,5.34%,3
Georgia,Region 1,4.49%,3.52%,5.70%,4
Georgia,Region 2,4.96%,3.85%,6.37%,4
Georgia,Region 3,4.18%,3.25%,5.37%,4
Georgia,Region 4,4.59%,3.51%,5.98%,4
Georgia,Region 5,4.77%,3.62%,6.27%,4
Georgia,Region 6,4.30%,3.30%,5.58%,4
Hawaii,Hawaii,4.64%,3.81%,5.65%,3
