,State,Quarter,startdate,days_marketing,product_name,LABELERNAME,DOSAGEFORMNAME,ROUTENAME,legit_supply
0,AK,1,1956-01-01,22620,DILAUDID,Purdue Pharma LP,TABLET,ORAL,0.0
1,AK,1,1987-12-31,10933,TUSSIONEX,Unither Manufacturing LLC,"SUSPENSION, EXTENDED RELEASE",ORAL,0.0
2,AK,1,1997-06-25,7730,NORCO,"Actavis Pharma, Inc.",TABLET,ORAL,0.0
3,AK,1,2007-08-20,3761,FENTANYL,Par Pharmaceutical Inc.,PATCH,TRANSDERMAL,0.0
4,AK,1,2007-08-20,3761,FENTANYL,Par Pharmaceutical Inc.,PATCH,TRANSDERMAL,0.0
5,AK,1,2007-08-20,3761,FENTANYL,Par Pharmaceutical Inc.,PATCH,TRANSDERMAL,0.0
6,AK,1,2009-08-13,3037,EMBEDA,Pfizer Laboratories Div Pfizer Inc,"CAPSULE, EXTENDED RELEASE",ORAL,0.0
7,AK,1,2009-08-13,3037,EMBEDA,Pfizer Laboratories Div Pfizer Inc,"CAPSULE, EXTENDED RELEASE",ORAL,0.0
8,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,50.34
9,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,37.86
10,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,173.2
11,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,198.78
12,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,40.44
13,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,285.36
14,AK,1,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
15,AK,1,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00196
16,AK,1,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00288
17,AK,1,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00424
18,AK,1,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00061
19,AK,1,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.0
20,AK,1,2011-08-25,2295,NUCYNTA ER,"Janssen Pharmaceuticals, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
21,AK,1,2011-08-25,2295,NUCYNTA ER,"Janssen Pharmaceuticals, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
22,AK,1,2012-03-20,2843,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
23,AK,1,2012-03-20,2690,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
24,AK,1,2012-03-20,2782,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
25,AK,1,2012-03-20,2659,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
26,AK,1,2013-03-12,1730,NORCO,"Actavis Pharma, Inc.",TABLET,ORAL,0.0
27,AK,1,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.012
28,AK,1,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.010125
29,AK,1,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.0
30,AK,1,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.014025
31,AK,1,2015-03-17,995,LORTAB,"Akorn, Inc.",SYRUP,ORAL,0.0
32,AK,2,1956-01-01,22620,DILAUDID,Purdue Pharma LP,TABLET,ORAL,0.0
33,AK,2,2007-08-20,3761,FENTANYL,Par Pharmaceutical Inc.,PATCH,TRANSDERMAL,0.0
34,AK,2,2007-08-20,3761,FENTANYL,Par Pharmaceutical Inc.,PATCH,TRANSDERMAL,0.0
35,AK,2,2009-08-13,3037,EMBEDA,Pfizer Laboratories Div Pfizer Inc,"CAPSULE, EXTENDED RELEASE",ORAL,0.0
36,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,45.33
37,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,37.02
38,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,82.4
39,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,206.28
40,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,49.68
41,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,319.56
42,AK,2,2010-08-08,2677,OXYCONTIN,Purdue Pharma LP,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
43,AK,2,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00188
44,AK,2,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00198
45,AK,2,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00328
46,AK,2,2011-02-14,2487,BUTRANS,Purdue Pharma LP,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.00055
47,AK,2,2011-08-25,2295,NUCYNTA ER,"Janssen Pharmaceuticals, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
48,AK,2,2011-08-25,2295,NUCYNTA ER,"Janssen Pharmaceuticals, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
49,AK,2,2011-08-25,2295,NUCYNTA ER,"Janssen Pharmaceuticals, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,0.0
50,AK,2,2012-03-20,2843,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
51,AK,2,2012-03-20,2782,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
52,AK,2,2012-03-20,2659,OPANA ER,"Endo Pharmaceuticals, Inc.","TABLET, EXTENDED RELEASE",ORAL,0.0
53,AK,2,2013-03-12,1730,NORCO,"Actavis Pharma, Inc.",TABLET,ORAL,0.0
54,AK,2,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.013
55,AK,2,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.007775
56,AK,2,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.0056
57,AK,2,2013-04-04,1707,FENTANYL,Apotex Corp.,"PATCH, EXTENDED RELEASE",TRANSDERMAL,0.0
